search_title,anilist_id,title_romaji,title_english,title_native,start_year,end_year,episodes,duration_min,genres,anilist_score,anilist_popularity,anilist_favorites,format,status,studio,anilist_url
Fullmetal Alchemist: Brotherhood,5114,NA,NA,NA,NA,NA,64,25,Action|Adventure|Drama|Fantasy,90,641620,52678,TV,FINISHED,NA,https://anilist.co/anime/5114
Kaiju No. 8,153288,NA,NA,NA,NA,NA,12,24,Action|Sci-Fi,82,224304,8552,TV,FINISHED,NA,https://anilist.co/anime/153288
Dandadan,171018,NA,NA,NA,NA,NA,12,24,Action|Comedy|Drama|Romance|Sci-Fi|Supernatural,84,296529,16001,TV,FINISHED,NA,https://anilist.co/anime/171018
Black Clover,97940,NA,NA,NA,NA,NA,170,24,Action|Adventure|Comedy|Fantasy,79,504009,23694,TV,FINISHED,NA,https://anilist.co/anime/97940
Cowboy Bebop,1,NA,NA,NA,NA,NA,26,24,Action|Adventure|Drama|Sci-Fi,86,416954,25520,TV,FINISHED,NA,https://anilist.co/anime/1
Death Note,1535,NA,NA,NA,NA,NA,37,23,Mystery|Psychological|Supernatural|Thriller,84,840763,44158,TV,FINISHED,NA,https://anilist.co/anime/1535
My Hero Academia,21459,NA,NA,NA,NA,NA,13,24,Action|Adventure|Comedy,76,777901,20699,TV,FINISHED,NA,https://anilist.co/anime/21459
Undead Unluck,154116,NA,NA,NA,NA,NA,24,24,Action|Comedy|Sci-Fi|Supernatural,77,108869,2698,TV,FINISHED,NA,https://anilist.co/anime/154116
Go Go Loser Ranger,158417,NA,NA,NA,NA,NA,12,24,Action|Comedy|Drama|Sci-Fi,72,68018,1296,TV,FINISHED,NA,https://anilist.co/anime/158417
The Fable,166910,NA,NA,NA,NA,NA,25,23,Action|Comedy|Drama|Romance|Thriller,77,30412,962,TV,FINISHED,NA,https://anilist.co/anime/166910
To Be Hero X,156092,NA,NA,NA,NA,NA,24,24,Action|Drama|Mystery|Supernatural,85,89414,4501,ONA,FINISHED,NA,https://anilist.co/anime/156092
Inuyasha,249,NA,NA,NA,NA,NA,167,24,Action|Adventure|Comedy|Fantasy|Romance,76,156982,5468,TV,FINISHED,NA,https://anilist.co/anime/249
Dragon Ball Z,813,NA,NA,NA,NA,NA,291,24,Action|Adventure|Comedy|Fantasy|Supernatural,80,229710,11987,TV,FINISHED,NA,https://anilist.co/anime/813
Yu Yu Hakusho,392,NA,NA,NA,NA,NA,112,24,Action|Adventure|Comedy|Supernatural,82,143841,7628,TV,FINISHED,NA,https://anilist.co/anime/392
Sailor Moon,530,NA,NA,NA,NA,NA,46,24,Action|Adventure|Fantasy|Mahou Shoujo|Romance,76,95475,3353,TV,FINISHED,NA,https://anilist.co/anime/530
Ghost in the Shell,43,NA,NA,NA,NA,NA,1,83,Action|Psychological|Sci-Fi,80,153270,5637,MOVIE,FINISHED,NA,https://anilist.co/anime/43
Gundam Wing,90,NA,NA,NA,NA,NA,49,24,Action|Adventure|Drama|Mecha|Sci-Fi,71,28767,712,TV,FINISHED,NA,https://anilist.co/anime/90
Death Parade,20931,NA,NA,NA,NA,NA,12,23,Drama|Mystery|Psychological|Supernatural|Thriller,80,424813,12086,TV,FINISHED,NA,https://anilist.co/anime/20931
S-Cry-Ed,168,NA,NA,NA,NA,NA,26,24,Action|Adventure|Sci-Fi,70,14769,237,TV,FINISHED,NA,https://anilist.co/anime/168
Gnosia,185116,NA,NA,NA,NA,NA,NA,NA,Drama|Mystery|Sci-Fi,70,12090,152,TV,RELEASING,NA,https://anilist.co/anime/185116
