search_title,scraped_at.x,anilist_id,title_romaji,title_english,title_native,start_year,end_year,episodes,duration_min,genres,anilist_score,anilist_popularity,anilist_favorites,format,status,studio,anilist_url,scraped_at.y,mal_id,mal_title,mal_title_english,mal_title_japanese,mal_type,mal_episodes,mal_status,mal_aired_from,mal_aired_to,mal_score,mal_scored_by,mal_rank,mal_popularity,mal_members,mal_favorites,mal_rating,mal_source,mal_duration,mal_url
Fullmetal Alchemist: Brotherhood,2025-11-26T23:11:42Z,5114,NA,NA,NA,NA,NA,64,25,Action|Adventure|Drama|Fantasy,90,641620,52668,TV,FINISHED,NA,https://anilist.co/anime/5114,2025-11-26T23:11:44Z,5114,Fullmetal Alchemist: Brotherhood,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,TV,64,Finished Airing,2009-04-05T00:00:00+00:00,2010-07-04T00:00:00+00:00,9.1,2262350,3,3,3598944,238141,R - 17+ (violence & profanity),Manga,24 min per ep,https://myanimelist.net/anime/5114/Fullmetal_Alchemist__Brotherhood
Kaiju No. 8,2025-11-26T23:11:45Z,153288,NA,NA,NA,NA,NA,12,24,Action|Sci-Fi,82,224190,8550,TV,FINISHED,NA,https://anilist.co/anime/153288,2025-11-26T23:11:47Z,52588,Kaijuu 8-gou,Kaiju No. 8,怪獣8号,TV,12,Finished Airing,2024-04-13T00:00:00+00:00,2024-06-29T00:00:00+00:00,8.25,388779,350,347,677383,6562,PG-13 - Teens 13 or older,Manga,23 min per ep,https://myanimelist.net/anime/52588/Kaijuu_8-gou
Dandadan,2025-11-26T23:11:48Z,171018,NA,NA,NA,NA,NA,12,24,Action|Comedy|Drama|Romance|Sci-Fi|Supernatural,84,296340,15989,TV,FINISHED,NA,https://anilist.co/anime/171018,2025-11-26T23:11:50Z,57334,Dandadan,Dan Da Dan,ダンダダン,TV,12,Finished Airing,2024-10-04T00:00:00+00:00,2024-12-20T00:00:00+00:00,8.46,527447,172,233,875630,14520,R - 17+ (violence & profanity),Manga,23 min per ep,https://myanimelist.net/anime/57334/Dandadan
Black Clover,2025-11-26T23:11:51Z,97940,NA,NA,NA,NA,NA,170,24,Action|Adventure|Comedy|Fantasy,79,503857,23686,TV,FINISHED,NA,https://anilist.co/anime/97940,2025-11-26T23:11:52Z,34572,Black Clover,Black Clover,ブラッククローバー,TV,170,Finished Airing,2017-10-03T00:00:00+00:00,2021-03-30T00:00:00+00:00,8.14,952884,500,55,1846823,50031,PG-13 - Teens 13 or older,Manga,23 min per ep,https://myanimelist.net/anime/34572/Black_Clover
Cowboy Bebop,2025-11-26T23:11:52Z,1,NA,NA,NA,NA,NA,26,24,Action|Adventure|Drama|Sci-Fi,86,416954,25513,TV,FINISHED,NA,https://anilist.co/anime/1,2025-11-26T23:11:54Z,1,Cowboy Bebop,Cowboy Bebop,カウボーイビバップ,TV,26,Finished Airing,1998-04-03T00:00:00+00:00,1999-04-24T00:00:00+00:00,8.75,1039032,48,42,2012295,88099,R - 17+ (violence & profanity),Original,24 min per ep,https://myanimelist.net/anime/1/Cowboy_Bebop
Death Note,2025-11-26T23:11:54Z,1535,NA,NA,NA,NA,NA,37,23,Mystery|Psychological|Supernatural|Thriller,84,840763,44157,TV,FINISHED,NA,https://anilist.co/anime/1535,2025-11-26T23:11:55Z,1535,Death Note,Death Note,デスノート,TV,37,Finished Airing,2006-10-04T00:00:00+00:00,2007-06-27T00:00:00+00:00,8.62,2937696,98,2,4198074,182960,R - 17+ (violence & profanity),Manga,23 min per ep,https://myanimelist.net/anime/1535/Death_Note
My Hero Academia,2025-11-26T23:11:56Z,21459,NA,NA,NA,NA,NA,13,24,Action|Adventure|Comedy,76,777648,20698,TV,FINISHED,NA,https://anilist.co/anime/21459,2025-11-26T23:11:57Z,31964,Boku no Hero Academia,My Hero Academia,僕のヒーローアカデミア,TV,13,Finished Airing,2016-04-03T00:00:00+00:00,2016-06-26T00:00:00+00:00,7.83,2193366,1015,7,3232518,54311,PG-13 - Teens 13 or older,Manga,24 min per ep,https://myanimelist.net/anime/31964/Boku_no_Hero_Academia
Undead Unluck,2025-11-26T23:11:58Z,154116,NA,NA,NA,NA,NA,24,24,Action|Comedy|Sci-Fi|Supernatural,77,108815,2696,TV,FINISHED,NA,https://anilist.co/anime/154116,2025-11-26T23:11:59Z,52741,Undead Unluck,NA,アンデッドアンラック,TV,24,Finished Airing,2023-10-07T00:00:00+00:00,2024-03-23T00:00:00+00:00,7.75,118378,1215,810,331169,1851,R - 17+ (violence & profanity),Manga,23 min per ep,https://myanimelist.net/anime/52741/Undead_Unluck
Go Go Loser Ranger,2025-11-26T23:11:59Z,158417,NA,NA,NA,NA,NA,12,24,Action|Comedy|Drama|Sci-Fi,72,68001,1296,TV,FINISHED,NA,https://anilist.co/anime/158417,2025-11-26T23:12:01Z,53770,Sentai Daishikkaku,Go! Go! Loser Ranger!,戦隊大失格,TV,12,Finished Airing,2024-04-07T00:00:00+00:00,2024-06-30T00:00:00+00:00,7.31,77257,2859,1407,191806,839,PG-13 - Teens 13 or older,Manga,23 min per ep,https://myanimelist.net/anime/53770/Sentai_Daishikkaku
The Fable,2025-11-26T23:12:01Z,166910,NA,NA,NA,NA,NA,25,23,Action|Comedy|Drama|Romance|Thriller,77,30393,961,TV,FINISHED,NA,https://anilist.co/anime/166910,2025-11-26T23:12:02Z,55911,The Fable,The Fable,ザ・ファブル,TV,25,Finished Airing,2024-04-07T00:00:00+00:00,2024-09-29T00:00:00+00:00,8.14,36556,498,2345,99116,757,R - 17+ (violence & profanity),Manga,22 min per ep,https://myanimelist.net/anime/55911/The_Fable
To Be Hero X,2025-11-26T23:12:03Z,156092,NA,NA,NA,NA,NA,24,24,Action|Drama|Mystery|Supernatural,85,89288,4493,ONA,FINISHED,NA,https://anilist.co/anime/156092,2025-11-26T23:12:04Z,53447,Tu Bian Yingxiong X,To Be Hero X,凸变英雄X,ONA,24,Finished Airing,2025-04-06T00:00:00+00:00,2025-09-14T00:00:00+00:00,8.72,84725,60,1318,205575,4137,PG-13 - Teens 13 or older,Original,25 min per ep,https://myanimelist.net/anime/53447/Tu_Bian_Yingxiong_X
Inuyasha,2025-11-26T23:12:05Z,249,NA,NA,NA,NA,NA,167,24,Action|Adventure|Comedy|Fantasy|Romance,76,156982,5466,TV,FINISHED,NA,https://anilist.co/anime/249,2025-11-26T23:12:06Z,249,InuYasha,InuYasha,犬夜叉,TV,167,Finished Airing,2000-10-16T00:00:00+00:00,2004-09-13T00:00:00+00:00,7.87,410289,921,248,847290,19797,PG-13 - Teens 13 or older,Manga,24 min per ep,https://myanimelist.net/anime/249/InuYasha
Dragon Ball Z,2025-11-26T23:12:07Z,813,NA,NA,NA,NA,NA,291,24,Action|Adventure|Comedy|Fantasy|Supernatural,80,229710,11984,TV,FINISHED,NA,https://anilist.co/anime/813,2025-11-26T23:12:08Z,813,Dragon Ball Z,Dragon Ball Z,ドラゴンボールZ,TV,291,Finished Airing,1989-04-26T00:00:00+00:00,1996-01-31T00:00:00+00:00,8.2,892202,418,114,1303438,41395,PG-13 - Teens 13 or older,Manga,24 min per ep,https://myanimelist.net/anime/813/Dragon_Ball_Z
Yu Yu Hakusho,2025-11-26T23:12:08Z,392,NA,NA,NA,NA,NA,112,24,Action|Adventure|Comedy|Supernatural,82,143841,7629,TV,FINISHED,NA,https://anilist.co/anime/392,2025-11-26T23:12:10Z,392,Yuu☆Yuu☆Hakusho,Yu Yu Hakusho: Ghost Files,幽☆遊☆白書,TV,112,Finished Airing,1992-10-10T00:00:00+00:00,1995-01-07T00:00:00+00:00,8.46,352461,168,302,739903,24347,PG-13 - Teens 13 or older,Manga,23 min per ep,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho
Sailor Moon,2025-11-26T23:12:10Z,530,NA,NA,NA,NA,NA,46,24,Action|Adventure|Fantasy|Mahou Shoujo|Romance,76,95475,3350,TV,FINISHED,NA,https://anilist.co/anime/530,2025-11-26T23:12:11Z,530,Bishoujo Senshi Sailor Moon,Sailor Moon,美少女戦士セーラームーン,TV,46,Finished Airing,1992-03-07T00:00:00+00:00,1993-02-27T00:00:00+00:00,7.75,199413,1219,642,408083,10952,PG-13 - Teens 13 or older,Manga,24 min per ep,https://myanimelist.net/anime/530/Bishoujo_Senshi_Sailor_Moon
Ghost in the Shell,2025-11-26T23:12:12Z,43,NA,NA,NA,NA,NA,1,83,Action|Psychological|Sci-Fi,80,153270,5636,MOVIE,FINISHED,NA,https://anilist.co/anime/43,2025-11-26T23:12:13Z,43,Koukaku Kidoutai,Ghost in the Shell,GHOST IN THE SHELL（攻殻機動隊）,Movie,1,Finished Airing,1995-11-18T00:00:00+00:00,NA,8.27,354626,328,341,687910,14018,R+ - Mild Nudity,Manga,1 hr 22 min,https://myanimelist.net/anime/43/Koukaku_Kidoutai
Gundam Wing,2025-11-26T23:12:14Z,90,NA,NA,NA,NA,NA,49,24,Action|Adventure|Drama|Mecha|Sci-Fi,71,28767,712,TV,FINISHED,NA,https://anilist.co/anime/90,2025-11-26T23:12:15Z,90,Shin Kidou Senki Gundam Wing,Mobile Suit Gundam Wing,新機動戦記ガンダムW,TV,49,Finished Airing,1995-04-07T00:00:00+00:00,1996-03-29T00:00:00+00:00,7.66,93763,1464,1579,169137,2444,PG-13 - Teens 13 or older,Original,24 min per ep,https://myanimelist.net/anime/90/Shin_Kidou_Senki_Gundam_Wing
Death Parade,2025-11-26T23:12:16Z,20931,NA,NA,NA,NA,NA,12,23,Drama|Mystery|Psychological|Supernatural|Thriller,80,424720,12084,TV,FINISHED,NA,https://anilist.co/anime/20931,2025-11-26T23:12:17Z,28223,Death Parade,Death Parade,デス・パレード,TV,12,Finished Airing,2015-01-10T00:00:00+00:00,2015-03-28T00:00:00+00:00,8.13,1068602,501,51,1887960,29455,R - 17+ (violence & profanity),Original,23 min per ep,https://myanimelist.net/anime/28223/Death_Parade
S-Cry-Ed,2025-11-26T23:12:17Z,168,NA,NA,NA,NA,NA,26,24,Action|Adventure|Sci-Fi,70,14769,237,TV,FINISHED,NA,https://anilist.co/anime/168,2025-11-26T23:12:19Z,168,s.CRY.ed,s-CRY-ed,スクライド,TV,26,Finished Airing,2001-07-04T00:00:00+00:00,2001-12-26T00:00:00+00:00,7.35,39891,2686,2534,87094,687,PG-13 - Teens 13 or older,Original,24 min per ep,https://myanimelist.net/anime/168/sCRYed
Gnosia,2025-11-26T23:12:19Z,185116,NA,NA,NA,NA,NA,NA,NA,Drama|Mystery|Sci-Fi,70,12051,153,TV,RELEASING,NA,https://anilist.co/anime/185116,2025-11-26T23:12:20Z,60427,Gnosia,Gnosia,グノーシア,TV,NA,Currently Airing,2025-10-12T00:00:00+00:00,NA,7.24,3401,3289,4748,26996,90,PG-13 - Teens 13 or older,Game,26 min,https://myanimelist.net/anime/60427/Gnosia
